Año;Periodo;CO2;CH4;N2O
1984;Año;0;0;0
1985;Año;0,41;0,73;0,2
1986;Año;0,84;1,51;0,46
1987;Año;1,37;2,24;0,66
1988;Año;2,06;2,9;0,92
1989;Año;2,53;3,57;1,22
1990;Año;2,88;4,17;1,55
1991;Año;3,25;4,84;1,81
1992;Año;3,46;5,38;1,97
1993;Año;3,69;5,56;2,04
1994;Año;4,12;5,86;2,24
1995;Año;4,68;6,29;2,47
1996;Año;5,17;6,47;2,67
1997;Año;5,52;6,65;2,96
1998;Año;6,3;7,26;3,22
1999;Año;6,88;7,68;3,52
2000;Año;7,32;7,74;3,88
2001;Año;7,75;7,68;4,11
2002;Año;8,31;7,74;4,34
2003;Año;9;7,98;4,54
2004;Año;9,53;7,92;4,77
2005;Año;10,14;7,92;5
2006;Año;10,75;7,92;5,3
2007;Año;11,27;8,22;5,53
2008;Año;11,88;8,71;5,82
2009;Año;12,31;9,01;6,09
2010;Año;12,95;9,31;6,42
2011;Año;13,53;9,61;6,71
2012;Año;14,17;9,92;7,01
2013;Año;14,93;10,28;7,34
2014;Año;15,51;10,82;7,7
2015;Año;16,21;11,49;8,03
2016;Año;17,14;11,97;8,26
2017;Año;17,78;12,39;8,56
2018;Año;18,44;13;8,95
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;" el metano, un 13% y el óxido nitroso, un 9%""";;;
